5515334586418020	Wayne	Payne	4/1/2016	514	9104029	2
3536203977854590	Jane	Kelly	21/7/2017	638	2961072	2
6767723825163200	George	Barnes	2/7/2016	306	9372328	2
3553770252753140	Lisa	Andrews	11/2/2016	332	7548769	2
3555095630043550	Richard	Kim	21/8/2016	977	7275805	2
3584884816702450	Howard	Alexander	14/6/2017	553	8466874	1
3564348635822340	Annie	Cruz	6/11/2017	702	7635847	1
4911616936392960	Robin	Berry	3/5/2016	891	8395164	2
3568647729873440	Jacqueline	Larson	1/2/2017	568	3298217	1
3581238712263570	Catherine	Marshall	26/4/2016	220	8160231	2
3537822309572510	Theresa	Graham	29/3/2016	625	4989509	1
5602226230208980	Julie	Wilson	30/4/2017	163	3197347	1
36503463615444	Doris	Hanson	18/9/2017	851	6730145	1
3551154797519160	Anna	Patterson	15/7/2017	350	2160495	2
5506099245711720	Nicholas	Williamson	3/12/2016	891	4012254	2
4917609083445460	Kenneth	Fowler	19/12/2016	174	9381747	1
5602210622574960	Christopher	Montgomery	17/11/2016	812	7762596	1
3582684274674370	Susan	Reyes	2/1/2016	249	6943049	1
3554731351590080	Donna	Smith	8/5/2017	418	2991142	1
3536014293500920	Michael	Marshall	23/6/2017	977	9833678	2
3556529603075470	Kathy	Marshall	5/7/2017	728	2057128	2
6331103989470210	Jane	Carter	23/7/2016	871	8566712	1
3538866384747850	Carol	Carroll	2/6/2017	745	7091585	1
3543389061770770	Rebecca	Kelley	8/5/2017	642	8866744	1
67629074205612800	Patricia	Morales	17/6/2017	798	8579404	1
67060163358050000	Larry	Garcia	20/4/2017	367	1961811	2
337941385564363	Virginia	Kennedy	15/3/2016	504	2644595	1
5007660746798600	Juan	Harvey	14/11/2017	341	4654924	1
3574047553380230	Kimberly	Ray	2/3/2017	592	5657809	1
3558253492854570	Joshua	King	13/10/2016	646	9054073	1
3561329726540900	Christopher	Austin	13/12/2017	638	7857602	1
4917518127761550	Larry	Holmes	1/1/2017	845	7894363	2
374283586015000	Andrew	Campbell	23/5/2016	122	7885649	1
30032582713241	Kimberly	Knight	12/2/2017	814	9654949	2
337941542239941	Harold	Lewis	20/6/2016	981	2488822	2
5602228775508950000	Alice	Gardner	23/5/2017	859	9398840	1
376445620025208	Richard	Jones	8/12/2017	713	9944569	2
5020167268689260	Mark	Foster	24/10/2016	705	4127874	1
560224449430672000	Fred	Morales	21/9/2016	884	4211808	1
6333822973306480	Ruby	Reed	30/1/2016	343	8766314	2
3555720940482510	Larry	Burke	25/5/2016	755	2614020	2
5602224088325090	Russell	Burns	20/4/2016	397	3580613	1
3569802685781380	Katherine	Gardner	11/4/2016	789	7856202	2
5602226709030040	Janice	Mendoza	22/3/2016	558	7048460	1
3541319462350610	Matthew	Phillips	17/11/2017	880	4853783	2
502095284160609000	Karen	Hicks	19/12/2017	656	6468195	2
3531190140049750	Theresa	Hansen	2/10/2016	305	2539074	2
3567205207234660	Roy	Chapman	2/4/2016	440	9390580	1
6372685834078090	Anna	Castillo	4/12/2017	339	3183479	1
5038549752451130000	Douglas	Hart	11/6/2016	113	9163234	2
3573665575030990	Maria	Thomas	21/2/2016	392	7714918	1
374288313263070	Terry	Burke	15/9/2017	809	1911864	2
675959684216630000	Lawrence	Henry	24/8/2017	620	9974226	1
4508986268762100	Jeremy	Bennett	29/7/2017	549	5921491	1
3584995886479380	Jane	Moore	4/8/2017	384	7116719	2
3536519079182640	Lisa	Brown	11/2/2016	377	1129959	1
5388987880783820	Carl	Payne	14/7/2017	377	7265203	2
30312717650793	Ruth	James	21/8/2016	658	3752750	1
670698880412473000	Judy	Cunningham	18/6/2017	849	4688246	2
201855511507976	Ashley	Fox	9/9/2017	895	5404536	2
